schema_version,source_file,source_sha256,module,flow,symbol_id,parent_symbol_id,qualname,name,kind,line_start,line_end,visibility,decorators,status,whole_file_evidence,ledger_slice_ids,rust_targets,rust_locations,acceptance_evidence,blockers
1,qlib/__init__.py,d704f15f9bb04b8fd2427efce27132584abc5d3a159c4f16453a4ee4e8c0fd0e,qlib,configuration-bootstrap,qlib/__init__.py::<module>@1,,<module>,<module>,module,1,317,public,[],ledger_evidence_candidate,,"[""ledger-072"", ""ledger-074"", ""ledger-077""]","[""`ConfiguredSaoeAdapterInputsProvider`, `SaoeAdapterRuntime`"", ""`ConfiguredSaoeStateAdapterFactory`, `SaoeAdapterInputsProvider`, `SaoeAdapterInputs`"", ""`SaoeBacktestDataLoader::load_shared`, `ConfiguredLiveSaoeAdapterFactory`, `LiveSaoeAdapterRuntime`""]","[""crates/core/src/saoe_adapter_factory.rs:119:ConfiguredSaoeStateAdapterFactory"", ""crates/core/src/saoe_adapter_factory.rs:153:LiveSaoeAdapterRuntime"", ""crates/core/src/saoe_adapter_factory.rs:16:SaoeAdapterInputs"", ""crates/core/src/saoe_adapter_factory.rs:193:ConfiguredLiveSaoeAdapterFactory"", ""crates/core/src/saoe_adapter_factory.rs:23:SaoeAdapterInputsProvider"", ""crates/core/src/saoe_adapter_factory.rs:36:SaoeAdapterRuntime"", ""crates/core/src/saoe_adapter_factory.rs:51:ConfiguredSaoeAdapterInputsProvider"", ""crates/core/src/saoe_backtest_data.rs:151:load_shared"", ""crates/core/src/saoe_backtest_data.rs:88:SaoeBacktestDataLoader""]","[""2 focused integration tests; Python-order characterization; exact 100% whole-workspace coverage"", ""2 focused tests; live Python AST differential; exact 100% whole-workspace coverage"", ""Shared mutation/cache/failure tests; 258 library plus22 related integration tests; loader145/145 lines,11/11 functions,241/241 regions,14/14 branches; factory153/153,20/20,160/160,2/2""]","[""Concrete Exchange/calendar/account trait adapters remain separate"", ""Concrete `load_backtest_data`/exchange input provider remains separate"", ""Returned state/history alias semantics and actual shared strategy assembly remain separate""]"
1,qlib/__init__.py,d704f15f9bb04b8fd2427efce27132584abc5d3a159c4f16453a4ee4e8c0fd0e,qlib,configuration-bootstrap,qlib/__init__.py::__version__@10,qlib/__init__.py::<module>@1,__version__,__version__,module_variable,10,10,public,[],not_started,,[],[],[],[],[]
1,qlib/__init__.py,d704f15f9bb04b8fd2427efce27132584abc5d3a159c4f16453a4ee4e8c0fd0e,qlib,configuration-bootstrap,qlib/__init__.py::__version__bak@11,qlib/__init__.py::<module>@1,__version__bak,__version__bak,module_variable,11,11,public,[],not_started,,[],[],[],[],[]
1,qlib/__init__.py,d704f15f9bb04b8fd2427efce27132584abc5d3a159c4f16453a4ee4e8c0fd0e,qlib,configuration-bootstrap,qlib/__init__.py::init@25,qlib/__init__.py::<module>@1,init,init,function,25,84,public,[],not_started,,[],[],[],[],[]
1,qlib/__init__.py,d704f15f9bb04b8fd2427efce27132584abc5d3a159c4f16453a4ee4e8c0fd0e,qlib,configuration-bootstrap,qlib/__init__.py::_mount_nfs_uri@87,qlib/__init__.py::<module>@1,_mount_nfs_uri,_mount_nfs_uri,function,87,185,private,[],not_started,,[],[],[],[],[]
1,qlib/__init__.py,d704f15f9bb04b8fd2427efce27132584abc5d3a159c4f16453a4ee4e8c0fd0e,qlib,configuration-bootstrap,qlib/__init__.py::init_from_yaml_conf@188,qlib/__init__.py::<module>@1,init_from_yaml_conf,init_from_yaml_conf,function,188,202,public,[],not_started,,[],[],[],[],[]
1,qlib/__init__.py,d704f15f9bb04b8fd2427efce27132584abc5d3a159c4f16453a4ee4e8c0fd0e,qlib,configuration-bootstrap,qlib/__init__.py::get_project_path@205,qlib/__init__.py::<module>@1,get_project_path,get_project_path,function,205,240,public,[],not_started,,[],[],[],[],[]
1,qlib/__init__.py,d704f15f9bb04b8fd2427efce27132584abc5d3a159c4f16453a4ee4e8c0fd0e,qlib,configuration-bootstrap,qlib/__init__.py::auto_init@243,qlib/__init__.py::<module>@1,auto_init,auto_init,function,243,317,public,[],not_started,,[],[],[],[],[]
1,qlib/backtest/__init__.py,1fdf1fe291353ea6f2695b341a5edebfa5ef92fac52107efffe3b01b3c1a15d2,qlib.backtest,backtest-execution,qlib/backtest/__init__.py::<module>@1,,<module>,<module>,module,1,349,public,[],whole_file_accepted,已验收：六个函数、惰性数据收集、双向恢复、配置/报告边界、`__all__`、导入及日志初始化（2026-09-06）,[],[],[],[],[]
1,qlib/backtest/__init__.py,1fdf1fe291353ea6f2695b341a5edebfa5ef92fac52107efffe3b01b3c1a15d2,qlib.backtest,backtest-execution,qlib/backtest/__init__.py::logger@30,qlib/backtest/__init__.py::<module>@1,logger,logger,module_variable,30,30,public,[],accepted_by_whole_file,已验收：六个函数、惰性数据收集、双向恢复、配置/报告边界、`__all__`、导入及日志初始化（2026-09-06）,[],[],[],[],[]
