schema_version,slice_id,slice,python_surface,rust_target,status,evidence,blockers,matched_symbol_count,matched_symbol_ids,rust_locations
1,ledger-001,numeric object dataframe append,"`qlib/rl/order_execution/utils.py::dataframe_append` bool/float asymmetry, typed numeric objects, chained append and missing object columns","`core::dataframe_append::{numeric_object_dtype,numeric_object_array,dataframe_append_with_warnings}`",done,"1,521 numeric pairs, 2,808 chains, 96 object block cases, 384 object input/alignment cases, existing matrices, IPC and failure tests; main 481/481 lines, 46/46 functions, 790/790 regions, 70/70 branches; blocks 164/164, 19/19, 284/284, 78/78; objects 96/96, 15/15, 146/146, 16/16; numeric unchanged exact100%","Other objects/extension/index families, constructors and warning policy remain; not whole-file closure",2,"[""qlib/rl/order_execution/utils.py::<module>@1"", ""qlib/rl/order_execution/utils.py::dataframe_append@16""]","[""crates/core/src/dataframe_append.rs:449:dataframe_append"", ""crates/core/src/dataframe_append.rs:462:dataframe_append_with_warnings"", ""crates/core/src/dataframe_append/objects.rs:23:numeric_object_dtype"", ""crates/core/src/dataframe_append/objects.rs:31:numeric_object_array"", ""crates/core/src/lib.rs:34:dataframe_append""]"
1,ledger-002,native integer dataframe blocks and numeric indexes,"`qlib/rl/order_execution/utils.py::dataframe_append` integer/float/bool promotion, integer alignment and i64/f32/f64 empty index rules","`core::dataframe_append::{IndexedFrame,dataframe_append_with_warnings}`",done,"1,449 numeric pairs, 256 alignment cases, 81 index cases, warning order and existing matrices; main 413/413 lines, 42/42 functions, 675/675 regions, 64/64 branches; blocks 126/126, 15/15, 202/202, 38/38; numeric 48/48, 3/3, 77/77, 20/20","Bool/float object results, constructors, other index/extension families and warning policy remain; not whole-file closure",2,"[""qlib/rl/order_execution/utils.py::<module>@1"", ""qlib/rl/order_execution/utils.py::dataframe_append@16""]","[""crates/core/src/dataframe_append.rs:449:dataframe_append"", ""crates/core/src/dataframe_append.rs:462:dataframe_append_with_warnings"", ""crates/core/src/dataframe_append.rs:77:IndexedFrame"", ""crates/core/src/lib.rs:34:dataframe_append""]"
1,ledger-003,built-in object-array price payloads,`qlib/rl/order_execution/utils.py::price_advantage` bool/int/float/complex and selected invalid built-in object payloads,"`core::builtin_object_price::{BuiltinPriceArithmetic,BuiltinPriceValue,BuiltinPriceNumber,BuiltinPriceType,BuiltinPriceArithmeticError}`",done,"4,608 built-in plus 1,008 stage cases; stable/nightly 53/53 lines, 6/6 functions, 63/63 regions, Nightly 6/6 branches; reused engine exact100%",Other payload/interop boundaries and complete dataframe_append remain separate,2,"[""qlib/rl/order_execution/utils.py::<module>@1"", ""qlib/rl/order_execution/utils.py::price_advantage@25""]","[""crates/core/src/builtin_object_price.rs:13:BuiltinPriceType"", ""crates/core/src/builtin_object_price.rs:40:BuiltinPriceValue"", ""crates/core/src/builtin_object_price.rs:50:BuiltinPriceNumber"", ""crates/core/src/builtin_object_price.rs:56:BuiltinPriceArithmeticError"", ""crates/core/src/builtin_object_price.rs:64:BuiltinPriceArithmetic"", ""crates/core/src/lib.rs:12:builtin_object_price""]"
1,ledger-004,native indexed Arrow dataframe append,"`qlib/rl/order_execution/utils.py::dataframe_append` preconstructed table alignment, numeric promotion and index handling","`core::dataframe_append::{IndexedFrame,dataframe_append,DataframeAppendError}`",done,"3,402 actual Pandas cases, native validation and seven injected Arrow failures; stable/nightly module 217/217 lines, 20/20 functions, 381/381 regions, Nightly 36/36 branches","Object/extension dtype adaptation, constructors, MultiIndex, differing timezones and duplicate-column positional append remain separate; not whole-file acceptance",2,"[""qlib/rl/order_execution/utils.py::<module>@1"", ""qlib/rl/order_execution/utils.py::dataframe_append@16""]","[""crates/core/src/dataframe_append.rs:227:DataframeAppendError"", ""crates/core/src/dataframe_append.rs:449:dataframe_append"", ""crates/core/src/dataframe_append.rs:77:IndexedFrame"", ""crates/core/src/lib.rs:34:dataframe_append""]"
1,ledger-005,repeated dataframe columns and empty column axes,`qlib/rl/order_execution/utils.py::dataframe_append` duplicate string-label alignment and default/explicit empty column-axis identity,"`core::dataframe_append::{IndexedFrame,EmptyColumnAxis,dataframe_append}`",done,"9,720 actual Pandas cases, chained append and seven Arrow failures; stable/nightly 281/281 lines, 30/30 functions, 455/455 regions, Nightly 48/48 branches","Object/extension promotion, arbitrary constructors, non-string/hierarchical labels and timezone reconciliation remain",2,"[""qlib/rl/order_execution/utils.py::<module>@1"", ""qlib/rl/order_execution/utils.py::dataframe_append@16""]","[""crates/core/src/dataframe_append.rs:449:dataframe_append"", ""crates/core/src/dataframe_append.rs:68:EmptyColumnAxis"", ""crates/core/src/dataframe_append.rs:77:IndexedFrame"", ""crates/core/src/lib.rs:34:dataframe_append""]"
1,ledger-006,block-aware floating dataframe append,"`qlib/rl/order_execution/utils.py::dataframe_append` block partitions, f32/f64 all-NA promotion and ordered warning transport","`core::dataframe_append::{IndexedFrame,dataframe_append_with_warnings}`",done,"80 additional source comparisons; 9,720 previous cases; main 394/394 lines, 41/41 functions, 652/652 regions, 58/58 branches; blocks 111/111, 13/13, 181/181, 26/26","f16/integer/bool/object families, constructor/layout normalization and warning-filter interop remain; not whole-file closure",2,"[""qlib/rl/order_execution/utils.py::<module>@1"", ""qlib/rl/order_execution/utils.py::dataframe_append@16""]","[""crates/core/src/dataframe_append.rs:449:dataframe_append"", ""crates/core/src/dataframe_append.rs:462:dataframe_append_with_warnings"", ""crates/core/src/dataframe_append.rs:77:IndexedFrame"", ""crates/core/src/lib.rs:34:dataframe_append""]"
1,ledger-007,half and mixed floating dataframe blocks,"`qlib/rl/order_execution/utils.py::dataframe_append` f16/f32/f64 data blocks, all-NA selection and promotion warnings","`core::dataframe_append::{IndexedFrame,dataframe_append_with_warnings}`",done,"144 floating pair cases and 144 layout cases; main 394/394 lines, 41/41 functions, 652/652 regions, 58/58 branches; blocks 124/124, 15/15, 200/200, 38/38","Integer/bool/object families, constructor/layout normalization and warning policy remain; not whole-file closure",2,"[""qlib/rl/order_execution/utils.py::<module>@1"", ""qlib/rl/order_execution/utils.py::dataframe_append@16""]","[""crates/core/src/dataframe_append.rs:449:dataframe_append"", ""crates/core/src/dataframe_append.rs:462:dataframe_append_with_warnings"", ""crates/core/src/dataframe_append.rs:77:IndexedFrame"", ""crates/core/src/lib.rs:34:dataframe_append""]"
1,ledger-008,object-array price arithmetic stages,`qlib/rl/order_execution/utils.py::price_advantage` object ufunc stages and float-object payloads,"`core::object_price_advantage::{object_price_advantage,ObjectPriceArithmetic,FloatObjectArithmetic,ObjectPriceAdvantage,ObjectPriceAdvantageError}`",done,"240 callback and 768 float-object live NumPy cases; stable/nightly 91/91 lines, 10/10 functions, 149/149 regions, Nightly 18/18 branches","Other concrete object payloads/runtime adapters, dtype failures, warnings and dataframe_append remain",2,"[""qlib/rl/order_execution/utils.py::<module>@1"", ""qlib/rl/order_execution/utils.py::price_advantage@25""]","[""crates/core/src/lib.rs:77:object_price_advantage"", ""crates/core/src/object_price_advantage.rs:102:object_price_advantage"", ""crates/core/src/object_price_advantage.rs:11:ObjectPriceArithmetic"", ""crates/core/src/object_price_advantage.rs:154:FloatObjectArithmetic"", ""crates/core/src/object_price_advantage.rs:43:ObjectPriceAdvantage"", ""crates/core/src/object_price_advantage.rs:50:ObjectPriceAdvantageError""]"
1,ledger-009,complex ndarray price advantage,`qlib/rl/order_execution/utils.py::price_advantage` complex64/complex128 paths,"`core::complex_price_advantage::{complex_price_advantage,ComplexPriceAdvantage,ComplexPriceComponent}`",done,"50,688 real NumPy bitwise complex cases plus 3,528 real cases; stable/nightly 51/51 lines, 8/8 functions, 90/90 regions, Nightly 14/14 branches; real-module regression exact100%","Object/other dtype paths, warnings and dataframe_append remain open",2,"[""qlib/rl/order_execution/utils.py::<module>@1"", ""qlib/rl/order_execution/utils.py::price_advantage@25""]","[""crates/core/src/complex_price_advantage.rs:10:ComplexPriceComponent"", ""crates/core/src/complex_price_advantage.rs:28:ComplexPriceAdvantage"", ""crates/core/src/complex_price_advantage.rs:79:complex_price_advantage"", ""crates/core/src/lib.rs:26:complex_price_advantage""]"
1,ledger-010,real numeric scalar/array price advantage,`qlib/rl/order_execution/utils.py::price_advantage` real numeric dtype paths,"`core::price_advantage::{price_advantage,price_advantage_array,ArrayPriceAdvantage,PriceElement,PriceFloat,PriceAdvantageError}` and SAOE adapter delegation",done,"3,528 real NumPy bitwise differential cases; 32 tests; stable/nightly 61/61 lines, 12/12 functions, 83/83 regions, Nightly 6/6 branches; wrapper all 10 regions hit",Remaining dtype/warning paths and dataframe_append keep whole utils.py open,2,"[""qlib/rl/order_execution/utils.py::<module>@1"", ""qlib/rl/order_execution/utils.py::price_advantage@25""]","[""crates/core/src/lib.rs:87:price_advantage"", ""crates/core/src/price_advantage.rs:114:price_advantage"", ""crates/core/src/price_advantage.rs:11:PriceAdvantageError"", ""crates/core/src/price_advantage.rs:135:price_advantage_array"", ""crates/core/src/price_advantage.rs:16:ArrayPriceAdvantage"", ""crates/core/src/price_advantage.rs:23:PriceFloat"", ""crates/core/src/price_advantage.rs:30:PriceElement"", ""crates/core/src/rl_candle_dqn_policy.rs:151:adapter"", ""crates/core/src/rl_candle_nstep.rs:70:adapter"", ""crates/core/src/saoe_state_adapter.rs:1124:price_advantage"", ""crates/core/src/shared_nested_account.rs:43:adapter""]"
